x,y,z
85.4288,1104.7,1104.7
79.1786,1105.17,1105.17
72.9514,1107.6,1107.6
66.8975,1107.98,1107.98
60.4138,1106.35,1106.35
54.0571,1104.68,1104.68
47.7016,1104.97,1104.97
41.7378,1107.21,1107.21
35.368,1107.44,1107.44
29.1031,1107.62,1107.62
22.7722,1109.77,1109.77
16.7073,1109.87,1109.87
10.3225,1109.95,1109.95
3.93759,1109.99,1109.99
-2.33701,1108,1108
-8.37677,1105.97,1105.97
-14.7653,1107.9,1107.9
-21.1763,1109.8,1109.8
-27.4536,1109.66,1109.66
-33.5172,1109.49,1109.49
-39.8989,1109.28,1109.28
-46.2792,1109.03,1109.03
-52.6465,1110.75,1110.75
-59.2475,1114.43,1114.43
-65.2196,1112.09,1112.09
-71.6157,1111.7,1111.7
-78.0094,1111.27,1111.27
-84.294,1110.81,1110.81
-90.5253,1112.32,1112.32
-95.9214,1113.88,1113.88
-102.221,1113.32,1113.32
-109.6,1110.61,1110.61
-115.228,1114.06,1114.06
-121.745,1115.38,1115.38
-127.61,1112.71,1112.71
-134.248,1113.94,1113.94
-140.904,1115.13,1115.13
-147.317,1114.3,1114.3
-153.57,1115.48,1115.48
-160.268,1116.56,1116.56
-166.984,1117.59,1117.59
-173.717,1118.59,1118.59
-179.827,1117.63,1117.63
-186.146,1116.59,1116.59
-192.907,1117.47,1117.47
-199.332,1116.34,1116.34
-205.791,1117.2,1117.2
-212.481,1117.99,1117.99
-218.909,1116.75,1116.75
-226.121,1119.39,1119.39
-232.235,1118.14,1118.14
-238.556,1116.81,1116.81
-245.405,1117.37,1117.37
-252.269,1117.89,1117.89
-258.374,1116.49,1116.49
-265.717,1118.88,1118.88
-272.515,1119.3,1119.3
-279.433,1119.66,1119.66
-286.365,1119.97,1119.97
-293.493,1122.26,1122.26
-299.836,1120.58,1120.58
-306.805,1120.77,1120.77
-313.786,1120.91,1120.91
-320.457,1121.1,1121.1
-327.354,1121.19,1121.19
-334.37,1121.2,1121.2
-340.794,1123.45,1123.45
-347.735,1123.41,1123.41
-355.396,1125.21,1125.21
-361.54,1123.25,1123.25
-368.619,1123.05,1123.05
-376.235,1124.74,1124.74
-383.989,1126.34,1126.34
-390.794,1126.12,1126.12
-397.932,1125.74,1125.74
-404.971,1125.35,1125.35
-412.126,1124.88,1124.88
-419.663,1126.36,1126.36
-427.554,1127.67,1127.67
-435.473,1128.92,1128.92
-442.582,1128.3,1128.3
-449.482,1127.72,1127.72
-456.713,1126.97,1126.97
-464.712,1128.03,1128.03
-472.629,1129.07,1129.07
-479.575,1128.31,1128.31
-486.669,1129.63,1129.63
-493.636,1128.78,1128.78
-501.745,1129.58,1129.58
-510.701,1132.14,1132.14
-518.871,1132.82,1132.82
-525.788,1131.84,1131.84
-533.997,1132.41,1132.41
-542.229,1132.93,1132.93
-549.61,1131.59,1131.59
-558.328,1134,1134
-566.63,1134.35,1134.35
-574.049,1132.86,1132.86
-581.471,1131.32,1131.32
-590.634,1133.33,1133.33
-599.62,1135.39,1135.39
-608.03,1135.45,1135.45
-616.46,1135.45,1135.45
-623.604,1136.1,1136.1
-633.046,1137.74,1137.74
-641.218,1137.75,1137.75
-650.619,1139.32,1139.32
-660.167,1140.75,1140.75
-667.73,1138.66,1138.66
-675.985,1138.43,1138.43
-685.615,1139.66,1139.66
-693.091,1137.47,1137.47
-701.724,1136.87,1136.87
-711.106,1138.11,1138.11
-720.849,1139.07,1139.07
-730.518,1140.03,1140.03
-741.419,1142.52,1142.52
-749.847,1141.79,1141.79
-758.739,1143.11,1143.11
-768.32,1143.93,1143.93
-769.33,1128.75,1128.75
-778.027,1130.07,1130.07
-796.985,1143.7,1143.7
-806.68,1144.23,1144.23
-816.734,1144.46,1144.46
-826.818,1144.6,1144.6
-836.82,1144.75,1144.75
-846.63,1144.99,1144.99
-856.797,1144.9,1144.9
-868.199,1146.33,1146.33
-878.319,1146.16,1146.16
-888.59,1148.35,1148.35
-900.113,1149.52,1149.52
-909.996,1149.38,1149.38
-920.344,1148.8,1148.8
-931.975,1149.71,1149.71
-943.646,1150.51,1150.51
-955.027,1151.49,1151.49
-966.667,1152.2,1152.2
-977.161,1151.2,1151.2
-990.282,1153.14,1153.14
-1003.13,1155.27,1155.27
-1013.6,1154.08,1154.08
-1024.32,1155.29,1155.29
-1037.52,1156.92,1156.92
-1049.53,1156.86,1156.86
-1061.24,1157.01,1157.01
-1076.04,1159.68,1159.68
-1089.54,1160.76,1160.76
-1101.6,1160.38,1160.38
-1113.46,1160.12,1160.12
-1125.69,1159.43,1159.43
-1139.35,1160.07,1160.07
-1151.53,1159.28,1159.28
-1164.04,1160.92,1160.92
-1172.02,1155.72,1155.72
-1174.02,1145.11,1145.11
-1180.34,1135.71,1135.71
-1180.74,1123.72,1123.72
-1179.9,1110.06,1110.06
-1183.34,1100.53,1100.53
-1185.23,1089.65,1089.65
-1183.67,1076.54,1076.54
-1182.4,1063.03,1063.03
-1182.52,1050.89,1050.89
-1184.04,1040.11,1040.11
-1185.17,1029.69,1029.69
-1187.94,1020.37,1020.37
-1187.7,1008.34,1008.34
-1185.82,995.06,995.06
-1188.16,986.011,986.011
-1188.65,972.833,972.833
-1186.36,959.805,959.805
-1185.34,948.309,948.309
-1189.21,940.235,940.235
-1191.44,930.916,930.916
-1187.28,916.713,916.713
-1189.01,907.898,907.898
-1191.02,898.634,898.634
-1191.36,888.182,888.182
-1191.61,877.755,877.755
-1193.16,868.876,868.876
-1194.81,859.776,859.776
-1193.21,848.254,848.254
-1193.16,837.927,837.927
-1194.44,829.114,829.114
-1193.45,816.447,816.447
-1192.93,806.552,806.552
-1192.48,796.459,796.459
-1193.7,787.384,787.384
-1194.86,778.321,778.321
-1195.73,769.615,769.615
-1195,759.62,759.62
-1195.97,750.607,750.607
-1195.16,740.555,740.555
-1194.07,730.88,730.88
-1196.55,722.965,722.965
-1197.18,714.136,714.136
-1197.82,705.208,705.208
-1198.4,696.296,696.296
-1198.72,687.746,687.746
-1199.11,678.984,678.984
-1197.76,669.149,669.149
-1199.84,661.282,661.282
-1200.61,651.538,651.538
-1200.81,642.733,642.733
-1199.18,633.014,633.014
-1200.97,625.297,625.297
-1204.54,618.378,618.378
-1204.34,609.979,609.979
-1200.67,599.468,599.468
-1202.24,591.783,591.783
-1203.83,583.985,583.985
-1203.56,575.325,575.325
-1204.88,567.887,567.887
-1204.44,559.377,559.377
-1202.18,549.944,549.944
-1201.68,541.376,541.376
-1201.12,532.833,532.833
-1204.01,526.261,526.261
-1206.97,519.442,519.442
-1204.41,510.15,510.15
-1207.33,503.214,503.214
-1206.45,494.858,494.858
-1207.43,487.162,487.162
-1208.21,479.818,479.818
-1207.23,471.405,471.405
-1204.8,461.032,461.032
-1207.3,454.441,454.441
-1208.02,446.795,446.795
-1208.65,439.272,439.272
-1209.27,431.639,431.639
-1209.85,424.014,424.014
-1212.15,417.397,417.397
-1212.6,409.893,409.893
-1213.04,402.281,402.281
-1211.53,394.059,394.059
-1211.87,386.476,386.476
-1212.12,379.018,379.018
-1212.27,371.802,371.802
-1212.47,364.247,364.247
-1212.63,356.702,356.702
-1212.7,349.283,349.283
-1212.77,341.759,341.759
-1212.69,334.595,334.595
-1214.59,327.613,327.613
-1214.52,320.111,320.111
-1216.31,313.236,313.236
-1216.16,305.747,305.747
-1215.87,298.619,298.619
-1215.62,291.154,291.154
-1215.3,283.818,283.818
-1214.96,276.379,276.379
-1214.58,268.953,268.953
-1216.11,261.962,261.962
-1215.54,255.019,255.019
-1216.98,248.022,248.022
-1218.39,241.017,241.017
-1217.79,233.628,233.628
-1217.13,226.37,226.37
-1216.38,219.36,219.36
-1217.62,212.359,212.359
-1216.85,205.02,205.02
-1216.02,197.812,197.812
-1219.11,191.123,191.123
-1218.16,184.159,184.159
-1217.22,176.862,176.862
-1220.2,170.133,170.133
-1219.16,162.963,162.963
-1220.07,155.948,155.948
-1220.95,148.926,148.926
-1219.91,140.734,140.734
-1220.7,133.714,133.714
-1219.45,126.601,126.601
-1222.11,120.131,120.131
